@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
25,2,2,0,0,0,?
52,5,10,0,0,0,?
301,29,57,18,0,0,?
51,5,8,0,0,0,?
85,8,17,0,0,0,?
105,16,5,26,3,2,?
24,6,1,0,0,0,?
16,3,1,0,0,0,?
15,3,1,0,0,0,?
20,7,0,0,0,0,?
22,9,0,0,0,0,?
20,6,1,0,0,0,?
18,3,1,0,0,0,?
17,4,0,0,0,0,?
89,5,10,22,0,0,?
52,1,9,7,0,0,?
73,1,9,14,0,0,?
51,0,9,9,0,1,?
88,12,10,16,0,0,?
188,26,13,69,1,1,?
92,8,10,19,0,0,?
93,5,11,22,0,0,?
63,2,10,11,0,0,?
53,2,9,5,0,0,?
80,7,10,19,0,0,?
69,5,10,14,0,0,?
25,0,9,0,0,0,?
52,1,9,7,0,0,?
101,31,4,14,7,2,?
10,0,1,2,0,0,?
71,14,4,20,3,0,?
21,1,2,0,0,0,?
33,6,2,6,2,0,?
641,48,97,0,0,0,?
45,3,6,0,0,0,?
88,9,18,0,0,0,?
85,13,4,22,3,0,?
114,32,5,15,7,1,?
7,0,0,0,0,0,?
108,20,7,21,3,7,?
46,11,1,23,0,0,?
31,8,1,10,0,0,?
39,8,2,4,3,1,?
24,3,1,1,0,0,?
7,0,0,0,0,0,?
16,1,2,0,0,0,?
25,4,1,3,0,0,?
32,6,2,6,2,0,?
32,6,2,6,2,0,?
36,2,7,0,0,0,?
52,12,3,12,2,0,?
46,3,2,3,1,5,?
26,5,2,5,2,0,?
32,6,2,6,2,0,?
75,15,3,10,0,4,?
83,15,9,22,0,0,?
145,23,11,41,8,0,?
20,2,1,3,0,0,?
19,2,1,3,0,0,?
67,6,12,0,0,0,?
217,32,3,45,1,39,?
19,2,1,3,0,0,?
6,0,0,0,0,0,?
24,2,4,0,0,0,?
57,12,3,9,3,0,?
55,15,3,13,4,0,?
23,1,1,6,0,0,?
40,7,2,10,2,0,?
89,19,9,16,4,0,?
98,30,4,14,7,2,?
14,1,2,0,0,0,?
62,8,7,20,0,0,?
16,1,2,0,0,0,?
15,1,2,0,0,0,?
72,19,5,27,6,0,?
26,0,0,0,0,0,?
143,9,13,22,0,19,?
50,3,4,0,0,0,?
8,0,0,0,0,0,?
111,3,16,5,1,1,?
152,10,16,13,0,19,?
204,12,20,28,0,28,?
202,14,22,18,0,29,?
34,3,5,0,0,0,?
40,3,6,1,0,0,?
23,3,1,2,0,0,?
243,17,13,111,0,24,?
57,8,3,19,1,0,?
227,27,10,102,0,3,?
125,15,15,18,2,0,?
55,4,9,6,0,0,?
135,18,5,68,2,0,?
53,9,3,18,2,0,?
64,12,3,15,3,0,?
23,3,1,4,1,0,?
129,15,15,22,2,0,?
59,9,3,21,2,0,?
49,10,3,12,3,0,?
7,0,0,0,0,0,?
301,22,17,107,7,41,?
45,9,3,10,3,0,?
46,9,3,10,3,0,?
54,9,3,17,2,0,?
55,8,5,14,0,0,?
98,21,6,9,6,0,?
62,7,3,15,0,4,?
18,0,3,0,0,0,?
26,4,1,9,0,0,?
30,5,2,4,0,0,?
47,5,5,5,0,0,?
34,5,3,4,0,0,?
28,6,1,2,0,0,?
52,5,5,11,0,0,?
84,10,13,3,0,0,?
36,4,1,4,0,0,?
68,8,7,30,0,0,?
101,7,7,70,0,0,?
86,6,7,47,0,0,?
42,5,3,4,0,0,?
88,7,6,3,1,0,?
77,7,9,10,0,0,?
64,6,7,10,0,0,?
33,3,3,10,0,0,?
48,4,5,5,0,0,?
64,6,7,8,0,0,?
33,4,2,5,0,0,?
28,3,2,5,0,0,?
65,6,7,12,0,0,?
16,2,1,3,0,0,?
24,1,3,3,0,0,?
12,0,1,0,0,0,?
49,0,5,28,0,4,?
35,4,3,7,0,0,?
63,6,6,11,0,0,?
34,3,2,15,0,0,?
54,9,4,17,0,0,?
48,10,1,24,0,0,?
53,9,4,17,0,0,?
28,2,2,10,0,0,?
388,41,68,55,0,0,?
386,41,68,54,0,0,?
14,0,1,2,0,0,?
26,2,2,5,0,0,?
56,9,5,5,0,0,?
46,2,3,14,0,0,?
38,4,3,8,0,0,?
28,2,1,13,0,0,?
31,4,1,5,0,0,?
33,3,1,15,0,0,?
31,4,1,5,0,0,?
38,4,3,8,0,0,?
34,4,1,5,0,0,?
39,5,3,8,0,0,?
38,4,3,8,0,0,?
166,16,16,142,0,0,?
31,4,1,5,0,0,?
19,2,1,3,0,0,?
75,14,5,24,0,0,?
25,4,1,4,0,0,?
38,4,3,8,0,0,?
113,12,12,76,0,0,?
28,2,1,9,0,0,?
56,6,5,16,0,0,?
77,15,7,39,0,0,?
38,4,3,8,0,0,?
33,3,1,15,0,0,?
27,2,1,7,0,0,?
25,2,1,7,0,0,?
55,6,5,15,0,0,?
25,2,1,7,0,0,?
39,4,3,10,0,0,?
20,2,1,3,0,0,?
54,6,5,16,0,0,?
30,4,1,7,0,0,?
38,4,3,8,0,0,?
38,4,3,8,0,0,?
26,2,1,9,0,0,?
24,4,1,7,0,0,?
46,7,4,8,0,0,?
81,10,6,13,0,0,?
39,4,5,5,0,0,?
35,7,2,8,0,0,?
56,5,8,10,0,0,?
62,11,3,24,0,0,?
51,8,4,10,0,0,?
109,14,11,32,0,0,?
80,17,6,20,0,0,?
33,3,3,17,0,0,?
37,10,1,8,2,1,?
33,3,3,19,0,0,?
81,12,9,13,0,0,?
26,3,3,6,0,0,?
18,3,1,4,0,0,?
17,2,1,3,0,0,?
50,6,6,12,0,0,?
84,13,9,18,0,0,?
52,6,5,6,0,0,?
48,4,5,6,0,0,?
35,2,4,3,0,0,?
24,3,2,5,0,0,?
33,3,3,7,0,0,?
117,12,14,21,0,0,?
112,11,14,23,0,0,?
82,10,17,4,0,0,?
105,9,14,21,0,0,?
64,7,6,11,0,0,?
72,6,9,10,0,0,?
80,9,9,8,0,0,?
124,12,17,19,0,0,?
17,2,1,5,0,0,?
20,3,1,6,0,0,?
19,4,1,4,0,0,?
23,4,2,8,0,0,?
37,5,1,14,0,0,?
34,2,2,5,0,0,?
53,9,4,11,0,0,?
104,20,7,31,0,0,?
49,8,4,10,0,0,?
39,6,2,9,0,0,?
36,0,6,12,0,0,?
34,1,6,13,0,0,?
17,0,1,2,0,0,?
46,3,7,18,0,0,?
54,7,4,15,0,0,?
23,3,1,2,0,0,?
30,6,1,4,0,0,?
25,2,2,1,0,0,?
105,13,10,17,0,3,?
39,5,2,3,0,1,?
138,23,10,29,0,5,?
44,3,3,9,0,0,?
35,3,2,5,0,0,?
50,6,3,6,0,0,?
88,12,8,14,0,2,?
50,6,3,6,0,0,?
149,27,14,34,0,4,?
86,12,8,13,0,2,?
72,12,4,14,0,2,?
149,27,14,34,0,4,?
90,12,8,14,0,3,?
139,23,10,29,0,5,?
86,8,10,13,0,0,?
30,3,1,8,0,0,?
50,6,3,6,0,0,?
71,12,4,13,0,2,?
92,12,8,15,0,3,?
149,27,14,34,0,4,?
44,6,2,6,0,0,?
37,3,2,7,0,0,?
