@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
129,9,9,38,0,1,?
26,0,1,0,0,0,?
74,7,2,14,0,0,?
26,0,1,0,0,0,?
83,3,3,14,0,0,?
44,2,1,13,0,0,?
414,44,25,140,0,22,?
61,2,4,6,0,0,?
74,4,2,13,0,0,?
137,15,6,41,0,2,?
91,5,3,47,0,2,?
74,5,4,13,0,4,?
192,20,11,40,0,7,?
73,4,3,5,0,0,?
64,3,3,7,0,0,?
77,3,4,17,0,0,?
1908,6,2,3641,1,6,?
262,15,26,55,0,1,?
39,0,2,0,0,0,?
337,20,20,85,0,14,?
52,2,3,5,0,0,?
30,0,2,0,0,0,?
172,11,11,29,0,0,?
51,0,4,0,0,0,?
343,19,22,78,0,4,?
85,1,5,1,0,0,?
59,0,3,0,0,0,?
79,0,5,0,0,0,?
44,1,3,6,0,0,?
56,3,1,8,0,1,?
134,8,4,20,0,2,?
111,6,6,9,0,2,?
90,8,4,1,0,7,?
666,49,40,109,0,17,?
45,0,1,0,0,0,?
54,1,2,7,0,3,?
93,2,4,14,0,0,?
51,1,3,1,0,1,?
359,12,19,48,0,12,?
83,5,3,12,0,1,?
74,1,3,7,0,0,?
57,2,3,4,0,0,?
81,2,5,8,0,0,?
56,1,4,4,0,0,?
81,1,8,3,0,0,?
77,5,4,11,0,0,?
586,29,46,87,0,6,?
111,7,9,13,0,1,?
155,9,10,17,0,1,?
109,0,7,8,0,0,?
81,1,8,8,0,0,?
74,3,2,14,0,2,?
108,1,13,24,0,0,?
104,1,14,14,0,0,?
84,6,3,11,0,2,?
59,3,2,3,0,0,?
80,0,7,12,0,0,?
40,0,2,0,0,0,?
60,1,7,11,0,0,?
49,0,3,0,0,0,?
173,11,18,24,0,3,?
265,19,16,75,0,5,?
51,2,1,3,0,1,?
52,3,1,6,0,0,?
73,1,6,3,0,0,?
56,3,2,4,0,1,?
35,0,1,0,0,0,?
109,7,5,20,0,0,?
169,6,15,42,0,0,?
319,6,29,45,0,0,?
119,5,10,25,0,3,?
97,10,5,9,0,1,?
196,5,13,23,0,1,?
127,6,10,8,0,0,?
156,14,10,15,1,4,?
56,0,2,0,0,0,?
107,6,8,12,0,0,?
57,0,3,0,0,0,?
392,22,20,75,0,9,?
36,0,1,0,0,0,?
211,7,23,56,0,7,?
65,3,5,0,0,0,?
54,1,3,0,0,0,?
211,12,19,41,0,3,?
711,32,56,114,0,17,?
496,20,34,77,0,8,?
273,19,11,55,0,5,?
238,13,13,27,0,1,?
85,6,2,20,0,1,?
135,4,8,18,0,1,?
609,49,49,144,0,16,?
289,18,10,76,0,15,?
42,0,5,0,0,0,?
225,8,19,37,0,1,?
117,7,10,47,0,1,?
249,18,10,85,0,12,?
114,8,7,28,0,0,?
157,3,14,15,0,0,?
117,0,7,0,0,0,?
184,15,12,43,0,5,?
132,4,11,26,0,2,?
82,0,4,0,0,0,?
175,8,16,22,0,0,?
413,19,25,69,0,6,?
318,9,22,49,0,4,?
170,7,5,26,0,2,?
335,19,18,47,0,4,?
393,20,18,64,0,5,?
369,18,19,61,0,11,?
237,15,14,80,1,8,?
488,35,41,99,0,9,?
657,49,45,111,0,4,?
48,3,4,0,0,0,?
174,14,17,53,0,4,?
41,1,3,0,0,0,?
42,1,3,0,0,0,?
305,11,29,35,0,0,?
80,0,7,3,0,0,?
61,2,4,4,0,1,?
175,15,7,26,1,3,?
175,7,24,20,0,0,?
89,3,6,8,0,3,?
39,0,2,1,0,0,?
683,30,65,165,0,19,?
114,6,10,16,0,1,?
83,1,6,4,0,0,?
65,6,2,11,0,0,?
106,6,5,13,0,2,?
160,12,6,31,0,6,?
81,3,3,4,0,4,?
96,3,3,10,0,0,?
227,18,11,61,0,14,?
102,3,7,7,0,1,?
76,4,4,12,0,0,?
29,0,2,0,0,0,?
73,2,6,5,0,0,?
158,5,12,23,0,0,?
99,3,6,5,0,2,?
161,8,14,15,1,1,?
77,2,6,10,0,1,?
124,4,9,22,0,4,?
34,0,1,1,0,0,?
54,1,3,3,0,0,?
43,6,2,7,0,0,?
12,0,1,0,0,0,?
46,5,2,9,0,0,?
46,10,1,13,0,1,?
20,1,2,5,0,0,?
12,0,1,0,0,0,?
25,3,1,5,0,0,?
73,4,3,8,0,1,?
93,3,6,17,0,0,?
26,0,2,0,0,0,?
28,0,2,2,0,0,?
113,6,8,17,0,2,?
107,3,9,11,0,3,?
389,28,39,96,0,11,?
37,1,1,0,0,0,?
50,0,3,0,0,0,?
183,10,15,32,0,3,?
117,0,10,0,0,0,?
40,1,2,0,0,0,?
83,2,9,2,0,1,?
82,1,9,3,0,1,?
189,9,17,19,2,9,?
38,0,2,0,0,0,?
136,6,6,27,0,9,?
71,3,3,15,0,1,?
78,3,4,11,0,1,?
214,3,18,22,0,1,?
70,2,6,7,0,1,?
57,2,4,10,0,0,?
414,32,28,66,2,4,?
51,1,4,5,0,0,?
53,1,4,7,0,0,?
101,9,1,34,0,0,?
250,16,18,51,0,9,?
86,6,7,9,0,2,?
56,6,4,6,0,2,?
32,0,1,2,0,0,?
36,1,1,5,0,0,?
53,1,3,7,0,0,?
32,0,1,2,0,0,?
124,7,5,35,0,9,?
32,0,1,2,0,0,?
32,0,1,2,0,0,?
43,1,1,7,0,0,?
83,6,5,16,0,5,?
52,2,4,10,0,0,?
84,7,3,14,1,3,?
33,0,1,2,0,0,?
31,0,1,2,0,0,?
33,0,1,2,0,0,?
169,11,13,27,1,6,?
75,2,4,0,0,1,?
98,3,11,12,0,2,?
101,12,9,9,0,1,?
47,0,3,2,0,1,?
31,0,1,2,0,0,?
101,5,8,9,0,1,?
55,3,2,6,0,1,?
34,0,0,0,0,0,?
32,0,1,0,0,0,?
34,0,0,0,0,0,?
32,0,1,1,0,0,?
205,9,9,47,0,2,?
97,4,4,10,0,1,?
68,4,2,4,0,0,?
26,2,1,2,0,0,?
46,2,2,4,0,0,?
54,3,1,2,0,0,?
